age,diet,height,location,date,Class
22,strictly anything,75,south san francisco,2012-06-28,other
35,mostly other,70,oakland,2012-06-29,other
38,anything,68,san francisco,2012-06-27,other
23,vegetarian,71,berkeley,2012-06-28,other
29,,66,san francisco,2012-06-27,other
29,mostly anything,67,san francisco,2012-06-29,stem
32,strictly anything,65,san francisco,2012-06-25,other
31,mostly anything,65,san francisco,2012-06-29,other
24,strictly anything,67,belvedere tiburon,2012-06-29,other
37,mostly anything,65,san mateo,2012-06-28,other
35,mostly anything,70,san francisco,2012-06-04,other
28,mostly anything,72,daly city,2012-05-22,other
24,,72,san francisco,2012-05-28,other
30,mostly anything,66,san francisco,2012-06-13,other
29,mostly anything,62,san leandro,2012-06-29,other
39,strictly anything,65,san francisco,2012-06-29,other
33,,70,oakland,2012-06-29,other
26,,64,san francisco,2012-06-29,other
31,mostly vegetarian,71,san francisco,2012-06-29,other
33,mostly anything,72,san francisco,2012-06-27,stem
27,mostly anything,67,san francisco,2012-06-26,other
22,,67,san francisco,2012-06-15,other
30,mostly anything,69,san francisco,2012-06-28,other
30,strictly vegan,71,san francisco,2012-05-17,other
33,strictly anything,73,oakland,2012-06-29,other
28,anything,70,atherton,2012-06-26,other
22,mostly anything,72,san francisco,2012-06-10,other
22,anything,67,oakland,2012-06-25,other
30,,74,san francisco,2012-06-19,other
32,,68,san francisco,2012-06-29,other
27,anything,64,san francisco,2011-11-10,other
27,anything,72,san francisco,2012-06-27,stem
38,mostly anything,67,san leandro,2012-05-25,stem
20,mostly vegetarian,60,san rafael,2012-06-30,other
27,strictly anything,69,san francisco,2012-06-24,other
26,,69,san francisco,2012-06-27,other
32,mostly anything,69,san francisco,2012-06-28,stem
25,mostly anything,69,oakland,2012-06-28,other
27,,63,walnut creek,2012-06-29,other
35,,74,san rafael,2012-06-30,stem
30,,76,menlo park,2012-06-29,stem
35,strictly anything,72,oakland,2012-06-30,other
30,strictly anything,75,berkeley,2012-03-19,other
40,,71,san francisco,2012-06-30,other
29,anything,66,san francisco,2012-06-10,other
27,mostly anything,69,oakland,2012-06-28,other
27,mostly anything,73,san francisco,2012-06-29,other
28,anything,70,san francisco,2012-06-25,other
31,strictly anything,67,san francisco,2012-06-30,other
26,mostly anything,66,belmont,2012-06-28,stem
33,,66,oakland,2012-06-27,other
38,anything,65,oakland,2012-03-23,other
31,mostly anything,69,san francisco,2012-06-23,stem
36,,69,oakland,2012-06-20,stem
33,mostly anything,69,menlo park,2012-06-25,stem
33,anything,70,san francisco,2012-06-29,other
26,anything,71,berkeley,2012-06-29,other
21,,72,san francisco,2012-06-29,stem
22,,70,san francisco,2011-10-13,other
31,,71,san francisco,2012-06-05,other
31,mostly anything,67,san francisco,2012-05-07,stem
35,mostly vegetarian,75,san francisco,2012-06-29,other
31,strictly anything,70,san francisco,2012-06-29,other
28,mostly vegetarian,67,san francisco,2012-06-28,other
28,anything,72,san francisco,2012-06-27,other
29,mostly vegetarian,68,san francisco,2012-06-29,stem
22,mostly anything,65,san jose,2012-06-30,other
30,,66,san francisco,2012-05-28,other
31,strictly anything,69,palo alto,2012-05-09,other
29,,76,berkeley,2012-04-26,other
25,,62,belmont,2012-06-28,stem
33,mostly anything,67,san francisco,2012-02-15,other
35,mostly anything,73,emeryville,2012-06-29,other
31,mostly anything,61,oakland,2012-06-29,other
28,strictly anything,72,oakland,2012-06-28,other
29,strictly vegetarian,67,oakland,2012-06-28,other
26,mostly anything,72,berkeley,2012-06-28,other
25,,65,san francisco,2011-10-20,other
34,mostly anything,67,san francisco,2012-06-26,other
21,mostly anything,71,san francisco,2011-12-20,other
28,,67,san francisco,2012-06-24,other
31,mostly anything,69,san francisco,2012-06-29,other
34,anything,69,san francisco,2012-06-28,other
32,,64,san francisco,2012-02-25,stem
30,,73,san francisco,2011-12-25,stem
28,,68,palo alto,2012-04-21,other
40,anything,66,san francisco,2012-06-06,other
27,mostly anything,61,san francisco,2012-06-26,other
43,,71,oakland,2012-06-29,other
37,mostly anything,64,san francisco,2012-03-30,other
24,anything,74,san francisco,2012-01-27,other
29,,74,san rafael,2011-10-27,stem
29,,67,el granada,2011-07-27,other
28,mostly vegetarian,69,san francisco,2012-06-29,stem
29,mostly anything,67,san francisco,2012-05-28,other
25,mostly anything,78,san francisco,2012-06-26,other
34,mostly other,75,san francisco,2012-06-29,other
39,,70,san francisco,2012-05-16,other
31,anything,66,san francisco,2012-06-29,other
46,mostly anything,72,castro valley,2012-06-24,other
38,,71,san francisco,2012-06-29,other
30,strictly anything,68,daly city,2012-06-18,other
41,mostly anything,69,fairfax,2012-06-28,other
39,mostly other,70,san francisco,2012-05-19,stem
31,anything,63,san francisco,2012-06-25,other
42,mostly anything,65,mountain view,2012-06-29,other
45,mostly anything,64,menlo park,2012-06-24,other
21,mostly anything,72,burlingame,2012-03-17,other
28,,64,san francisco,2012-06-30,other
29,strictly anything,66,martinez,2012-06-29,other
36,,68,san francisco,2012-06-24,other
28,,71,oakland,2012-06-29,other
24,,74,oakland,2012-06-29,other
23,mostly anything,66,san francisco,2012-06-28,other
36,strictly anything,70,emeryville,2012-03-22,stem
35,,72,pleasant hill,2012-06-24,other
18,,68,hayward,2012-05-24,other
55,,67,alameda,2012-02-09,other
21,mostly vegetarian,65,san francisco,2012-06-29,other
